id,product_name,price,quantity,expiration_date,category,manufacturer,stock_symbol,location,is_available,purchase_date
247,Garlic - Peeled,25.77,630,11/1/2023,household,Bubbletube,MOH,PO Box 73002,true,12/20/2023
248,Cornflakes,36.97,675,7/4/2022,household,Thoughtsphere,VBND,Apt 1525,true,8/12/2023
249,"Beef - Rib Roast, Capless",9.82,932,9/5/2022,beverages,Livefish,ARTX,PO Box 53138,true,1/20/2022
250,Beef - Rib Eye Aaa,1.53,520,11/6/2023,food,Browseblab,BRSS,19th Floor,false,6/24/2023
251,Pie Filling - Apple,58.85,559,7/31/2022,personal care,Rhybox,BTT,Room 1962,true,6/7/2022
252,Cheese - Le Cru Du Clocher,83.81,835,10/7/2022,household,Chatterpoint,ARNC^B,Suite 40,false,11/4/2023
253,Creme De Menth - White,81.36,164,11/15/2022,beverages,Voomm,MEOH,Suite 54,false,12/1/2022
254,Chocolate - Mi - Amere Semi,92.36,679,9/7/2023,household,Mybuzz,ALIM,Room 415,true,12/22/2023
255,Radish,75.61,820,8/28/2022,household,Izio,MBI,PO Box 21771,false,1/12/2022
256,Apple - Northern Spy,2.26,666,7/9/2023,food,Thoughtblab,OGXI,Suite 53,true,2/3/2022
257,Croissants Thaw And Serve,56.56,163,10/2/2022,household,Skilith,TAHO,Room 1238,false,9/20/2023
258,Bread Foccacia Whole,53.52,747,11/22/2023,food,Jetwire,ADOM,Suite 68,true,10/21/2022
259,Sugar - Icing,20.25,44,10/4/2022,household,Mudo,MB,Suite 25,true,5/4/2022
260,"Carrots - Purple, Organic",69.9,889,4/24/2022,food,Jaxnation,NUVA,Room 1326,true,11/8/2023
261,Soup - Campbells Mushroom,40.7,772,7/21/2022,household,Mydo,BSRR,Apt 855,true,10/17/2022
262,Cookie Dough - Double,21.9,191,6/10/2023,household,Linklinks,AGM^B,Suite 77,true,7/26/2022
263,Danishes - Mini Raspberry,15.28,1000,3/7/2023,beverages,Thoughtstorm,BELFB,Apt 1930,true,10/12/2022
264,Cheese - Grana Padano,16.65,436,4/16/2023,beverages,Twitterbeat,WYIGU,12th Floor,true,12/13/2022
265,Chef Hat 25cm,94.23,484,1/5/2022,household,Devpoint,ZG,Apt 1169,true,11/10/2023
266,Sage - Ground,71.41,249,4/6/2023,beverages,Voolia,ANET,17th Floor,true,10/8/2023
267,Pomello,12.69,872,9/21/2023,beverages,Leenti,PCK,Suite 61,true,12/20/2023
268,Crawfish,3.11,709,8/15/2022,personal care,Oyonder,SYBT,Suite 95,true,7/24/2022
269,Salami - Genova,85.49,77,8/22/2022,personal care,Skiptube,KTH,19th Floor,false,3/3/2022
270,Fond - Neutral,49.45,19,1/20/2023,personal care,Brightdog,TLLP,Suite 75,true,4/30/2023
271,Plate Foam Laminated 9in Blk,38.85,555,1/6/2022,food,Eadel,GATX,Room 349,true,1/1/2022
272,Wine - Sawmill Creek Autumn,85.07,892,4/9/2022,food,Devpulse,HYH,Room 1636,false,10/11/2022
273,Vinegar - Tarragon,26.85,863,1/1/2022,food,Gabtype,VAC,Suite 66,true,11/7/2022
274,"Wine - Magnotta, White",45.5,309,2/17/2022,beverages,Cogidoo,AGNCP,11th Floor,false,11/28/2022
275,Sprouts - Alfalfa,9.22,433,9/30/2022,beverages,Katz,EVR,PO Box 81672,false,7/6/2023
276,Spinach - Baby,72.53,432,7/7/2023,beverages,Quaxo,EQFN,9th Floor,true,3/6/2022
277,Appetizer - Mango Chevre,16.9,126,10/15/2022,food,Flipopia,RMAX,Apt 634,true,12/17/2023
278,"Turkey - Breast, Bone - In",54.16,594,7/20/2023,personal care,Fanoodle,VVC,Apt 1373,true,10/11/2023
279,"Wine - White, Antinore Orvieto",95.68,329,7/17/2022,household,Quaxo,MFM,10th Floor,true,11/5/2023
280,Mushroom - Porcini Frozen,84.62,402,9/14/2023,food,Flashdog,AVB,PO Box 28444,true,1/30/2023
281,Orange - Tangerine,96.79,416,10/18/2022,household,Lazz,PYDS,Apt 1376,true,12/4/2023
282,Potatoes - Mini White 3 Oz,65.3,45,12/19/2023,personal care,Voonte,FSD,PO Box 6460,false,11/20/2022
283,Icecream - Dstk Cml And Fdg,22.42,488,10/24/2022,food,Cogilith,FTFT,Room 723,true,5/16/2023
284,"Water - Mineral, Natural",14.17,536,9/17/2023,beverages,Kamba,UPLD,20th Floor,true,7/26/2023
285,Zucchini - Yellow,48.71,756,3/29/2022,food,Voolith,CEE,Room 603,false,6/2/2023
286,Veal - Nuckle,73.47,236,1/10/2022,food,Photobug,RATE,Suite 33,true,4/2/2023
287,Anchovy In Oil,98.84,285,6/26/2023,food,Browsebug,UNTY,PO Box 73632,false,1/24/2023
288,English Muffin,22.09,977,10/4/2022,household,Buzzster,NVO,PO Box 68128,false,4/14/2022
289,Juice - Lime,83.83,291,11/29/2022,household,Skibox,NCS,Suite 33,false,12/16/2023
290,"Tabasco Sauce, 2 Oz",78.34,950,10/11/2023,beverages,Avavee,DRI,Apt 1864,false,3/24/2023
291,"Soup - Beef, Base Mix",1.42,57,2/5/2022,personal care,Viva,PDVW,PO Box 87666,false,11/29/2022
292,"Tuna - Canned, Flaked, Light",9.07,426,5/20/2023,personal care,Cogidoo,IGR,Room 228,true,10/31/2022
293,Pectin,51.92,405,4/27/2023,personal care,Babblestorm,TEF,Room 1725,true,5/24/2022
294,Bread - Kimel Stick Poly,67.02,986,2/16/2023,food,Tazzy,REXR^A,Room 1792,false,1/27/2023
295,Cake - French Pear Tart,68.3,699,10/12/2022,food,Skinte,CVV,Apt 1511,false,1/23/2023
296,Cheese - Asiago,68.99,569,9/21/2022,household,Wikibox,CYCC,Suite 88,true,5/29/2023
297,Wine - Balbach Riverside,48.39,201,9/4/2023,beverages,Topiclounge,JCTCF,PO Box 58920,false,9/22/2022
298,Wine - German Riesling,78.62,834,9/27/2023,household,Twimm,AGO,Suite 15,false,8/27/2023
299,Ecolab - Hobart Upr Prewash Arm,54.36,175,7/11/2022,food,Blogtags,DS^B,Suite 72,true,7/4/2022
300,Sambuca Cream,36.17,144,11/30/2023,food,Blogtags,VOXX,Apt 691,true,1/5/2023
301,"Yogurt - Raspberry, 175 Gr",44.27,693,8/25/2023,household,Youopia,MFIN,Apt 1193,true,8/23/2023
302,Red Currants,84.76,327,11/19/2023,beverages,Feedfire,CTAA,Suite 84,false,7/14/2022
303,Wasabi Paste,66.75,450,2/2/2023,household,Skyba,MTD,Apt 1655,true,3/29/2022
304,"Lamb - Leg, Boneless",2.45,608,1/20/2023,personal care,Vimbo,NATH,Apt 1432,true,3/28/2023
305,Amarula Cream,99.44,805,8/17/2022,food,Jamia,GPE^A,Suite 57,true,11/12/2022
306,Syrup - Pancake,98.78,64,4/14/2023,household,Demimbu,BNTCW,Suite 73,false,12/7/2023
307,Lettuce - California Mix,60.84,208,7/14/2023,food,Flashset,CPAH,Room 1958,true,4/9/2023
308,Tart - Butter Plain Squares,71.35,284,1/29/2022,food,Brainbox,WU,7th Floor,false,11/17/2022
309,"Hickory Smoke, Liquid",55.97,398,7/5/2023,beverages,Buzzshare,CAI,13th Floor,false,3/1/2022
310,Sauce - Alfredo,54.13,153,3/15/2023,personal care,Kazu,SRAX,PO Box 71892,false,5/4/2023
311,Soho Lychee Liqueur,5.91,284,2/1/2023,food,Tekfly,DDS,Suite 9,true,12/8/2023
312,Green Tea Refresher,14.82,241,2/7/2022,food,Edgeclub,PZE,6th Floor,true,3/3/2022
313,Wine - Maipo Valle Cabernet,32.63,466,11/19/2022,food,Kazio,CIM,Suite 85,true,10/23/2023
314,Garlic,5.15,530,10/17/2023,personal care,Jaxworks,UNB,2nd Floor,false,4/3/2022
315,"Lamb - Loin, Trimmed, Boneless",93.58,1000,7/28/2022,personal care,Babbleblab,TUSA,Apt 1323,true,3/26/2022
316,Spinach - Packaged,55.09,455,10/15/2022,personal care,Wikivu,JHS,PO Box 77698,false,5/28/2022
317,Tandoori Curry Paste,4.03,587,5/30/2023,beverages,JumpXS,CTRE,Apt 1184,true,8/6/2023
318,"Stock - Beef, White",51.41,232,7/13/2022,household,Fadeo,SGU,16th Floor,true,6/14/2022
319,V8 - Berry Blend,34.99,817,2/1/2023,household,Bubbletube,MYRG,Apt 1794,false,9/11/2022
320,Sausage - Breakfast,55.73,864,6/7/2023,beverages,Abata,DATA,Room 1758,false,12/3/2022
321,Rice - Long Grain,26.45,405,7/17/2023,food,Teklist,AMTX,Suite 60,false,12/19/2022
322,Cookie Chocolate Chip With,52.99,647,7/4/2023,household,Oyonder,MYD,2nd Floor,true,7/22/2022
323,Wine La Vielle Ferme Cote Du,46.94,375,7/26/2023,household,Devbug,CVLY,PO Box 54380,true,9/26/2022
324,Ginger - Crystalized,73.34,251,4/5/2022,beverages,Quire,ECCZ,Apt 1690,true,8/1/2023
325,Vol Au Vents,69.07,703,9/23/2023,personal care,Feedbug,MRAM,Suite 54,true,5/29/2022
326,Pepper - Pablano,55.93,409,10/28/2022,beverages,Yodoo,NVGS,PO Box 85240,false,11/9/2022
327,Persimmons,12.32,651,7/31/2022,household,Skyba,RELV,PO Box 29668,false,10/2/2023
328,Pie Shells 10,91.66,328,11/11/2022,beverages,Layo,SNR,6th Floor,true,10/11/2022
329,Sausage - Andouille,65.45,595,5/5/2023,food,Meejo,NGVT,Suite 19,false,7/27/2023
330,Bagel - Whole White Sesame,80.7,135,9/26/2022,personal care,Bluezoom,SCHL,15th Floor,false,9/10/2023
331,Sauce - Hoisin,7.68,505,2/28/2022,personal care,Reallinks,MS^K,Suite 7,true,7/11/2022
332,Numi - Assorted Teas,87.06,368,7/5/2023,food,Zoombox,BAM,Apt 1015,false,6/7/2023
333,Vegetable - Base,59.95,1000,6/28/2023,food,Bubbletube,CPF,Suite 50,false,4/2/2022
334,Lettuce - Boston Bib,14.03,327,8/28/2022,food,Leenti,HOS,Suite 85,true,10/30/2022
335,Coffee Cup 16oz Foam,70.11,683,4/30/2022,food,Twitterlist,EVA,Suite 31,false,11/23/2022
336,Bandage - Flexible Neon,28.42,322,2/19/2022,personal care,Ozu,FLC,Suite 79,false,12/19/2022
337,Wasabi Powder,9.44,453,12/7/2023,food,Pixope,LYV,Room 1173,true,1/18/2022
338,Beets,49.19,3,10/2/2022,food,Yombu,WM,Apt 495,false,9/23/2023
339,Syrup - Monin - Passion Fruit,54.4,467,12/8/2022,beverages,Topdrive,ZIONZ,Room 479,false,12/9/2022
340,Nut - Macadamia,43.78,545,3/15/2023,household,Muxo,FMI,PO Box 67410,true,3/24/2023
341,Meldea Green Tea Liquor,92.35,725,5/24/2023,personal care,Yacero,ITEK,Apt 656,false,10/21/2023
342,Bay Leaf,69.56,860,11/10/2023,beverages,Yacero,FGBI,Apt 1986,true,9/13/2022
343,Icecream Cone - Areo Chocolate,88.27,59,8/9/2023,food,Youbridge,EXPR,Apt 456,false,4/6/2023
344,Lobster - Cooked,85.23,354,7/24/2023,personal care,Fliptune,ANAT,16th Floor,false,1/25/2023
345,Beans - Fava Fresh,96.24,384,6/15/2023,beverages,Aivee,NTB,PO Box 83708,true,1/11/2022
346,"Pasta - Bauletti, Chicken White",79.23,226,1/15/2023,beverages,Gigabox,RSPP,Suite 70,false,11/1/2022
347,Creme De Banane - Marie,75.9,265,11/12/2023,household,Voomm,SNV,PO Box 36495,true,10/26/2022
348,Tart - Lemon,86.13,819,11/26/2022,beverages,Quinu,PPBI,Room 932,false,11/19/2023
349,"Lemonade - Black Cherry, 591 Ml",99.59,878,3/23/2022,food,Fatz,OXBR,Room 22,false,5/3/2023
350,Sea Bass - Whole,38.73,404,9/14/2022,beverages,Jaloo,CAJ,Suite 47,true,6/4/2023
351,Tomatoes Tear Drop Yellow,64.13,63,5/19/2023,food,Aimbo,DHIL,Apt 103,false,5/7/2023
352,Chinese Foods - Chicken Wing,42.54,271,1/6/2023,personal care,Youspan,AVP,PO Box 95748,false,8/14/2022
353,Rambutan,29.96,404,2/2/2023,food,Twitterbeat,OVLY,Apt 266,false,4/21/2022
354,"Shrimp - 16/20, Iqf, Shell On",83.23,99,8/31/2022,beverages,Skaboo,GLOG^A,Apt 848,true,4/13/2022
355,Truffle Cups Green,64.33,11,8/28/2022,food,Dabvine,SGMO,Suite 39,false,8/14/2023
356,"Veal - Round, Eye Of",10.07,896,6/3/2023,personal care,Zooxo,CNI,4th Floor,true,7/2/2022
357,Carrots - Jumbo,75.13,893,3/23/2023,beverages,Fanoodle,PHO,Room 410,false,10/21/2023
358,"Juice - Apple, 500 Ml",24.21,784,5/1/2022,beverages,Roombo,NFLX,Room 855,false,3/25/2023
359,Sorrel - Fresh,69.56,494,10/7/2023,beverages,Zoonder,LTM,Room 1666,false,6/26/2022
360,Spring Roll Veg Mini,40.73,872,8/3/2023,household,Realpoint,HY,20th Floor,false,4/13/2022
361,Island Oasis - Mango Daiquiri,60.64,178,4/10/2023,beverages,Jaloo,TACT,Suite 66,false,10/29/2022
362,Appetizer - Escargot Puff,40.36,913,11/19/2022,beverages,Nlounge,RMT,Apt 1603,false,7/16/2022
363,Ecolab Crystal Fusion,54.5,901,10/1/2022,personal care,Twinder,JSYNU,Suite 59,false,2/4/2023
364,Soup Campbells - Tomato Bisque,62.39,778,12/29/2022,household,Tagopia,TSLX,Apt 1170,true,12/18/2022
365,Flower - Potmums,16.16,371,10/3/2022,household,Zava,SORL,Room 1834,false,1/25/2022
366,"Water - Mineral, Natural",63.99,75,5/5/2023,food,Oyondu,MLAB,Room 1256,false,11/23/2022
367,Milk - Buttermilk,12.33,652,5/28/2023,food,Trupe,MMU,Suite 54,true,11/5/2022
368,Cheese - Bocconcini,3.65,182,1/18/2023,household,Twimbo,GJR,Apt 583,true,9/25/2023
369,Bagels Poppyseed,85.95,621,3/29/2023,personal care,Plajo,CII,PO Box 46060,true,10/12/2023
370,"Sugar - Brown, Individual",97.81,121,11/15/2023,food,Livetube,ENO,Suite 86,true,4/1/2023
371,Energy Drink Red Bull,31.0,529,8/13/2022,household,Gevee,VICR,Suite 27,false,4/17/2022
372,Shopper Bag - S - 4,85.75,417,10/10/2022,beverages,Bubbletube,DELT,PO Box 70090,false,8/28/2023
373,Macaroons - Homestyle Two Bit,76.52,934,12/20/2023,food,Buzzster,AJRD,Suite 13,true,10/23/2022
374,Container Clear 8 Oz,23.39,316,12/28/2022,household,Demizz,FCN,Apt 811,false,1/13/2023
375,Filo Dough,44.32,36,7/21/2023,personal care,Youfeed,GFA,PO Box 35033,false,7/27/2023
376,Chocolate - Milk Coating,13.02,256,12/28/2023,food,Photospace,COVS,5th Floor,false,5/21/2022
377,"Juice - Pineapple, 341 Ml",33.08,752,11/11/2023,household,Eamia,TVIX,6th Floor,true,3/24/2023
378,"Melon - Watermelon, Seedless",73.88,348,2/12/2023,personal care,Yodel,AWF,PO Box 12765,true,7/23/2023
379,Triple Sec - Mcguinness,70.43,333,8/19/2022,household,Twitterbeat,NGL,PO Box 20158,false,3/3/2022
380,Potatoes - Pei 10 Oz,42.71,811,1/18/2022,personal care,Meevee,PPSI,PO Box 45286,false,2/5/2022
381,"Soup - Beef Conomme, Dry",27.48,341,12/15/2022,personal care,Feedfire,TPB,PO Box 56657,false,10/13/2023
382,"Yogurt - Raspberry, 175 Gr",76.88,472,2/10/2023,personal care,Geba,YEXT,Apt 952,true,1/13/2022
383,Brandy Apricot,12.52,425,5/23/2023,food,Photojam,CLNS^A.CL,13th Floor,true,10/9/2022
384,Spring Roll Veg Mini,56.45,92,6/17/2023,food,Realbridge,DHXM,Suite 73,true,6/9/2022
385,"Stock - Beef, White",19.15,35,8/30/2023,household,Photojam,CYRN,PO Box 53798,true,6/24/2022
386,Lettuce - Frisee,54.44,881,5/21/2023,beverages,Mydeo,CLACW,Room 1152,false,1/16/2023
387,Wine - Chablis 2003 Champs,46.03,179,1/5/2022,personal care,Leenti,PNW,Room 1172,false,7/6/2022
388,Ecolab - Solid Fusion,41.15,610,10/2/2022,food,Photolist,GLBR,5th Floor,true,4/13/2022
389,Sugar Thermometer,95.16,833,9/27/2022,food,Podcat,CXH,Room 613,true,2/26/2022
390,Pickerel - Fillets,87.38,444,4/12/2022,household,Cogidoo,EGN,Room 446,true,8/29/2022
391,Gatorade - Fruit Punch,77.57,457,1/22/2023,beverages,Gabspot,ACSF,PO Box 86773,true,4/3/2022
392,Pepper - Green,85.5,9,3/30/2023,personal care,Kwilith,GLP,Suite 25,false,7/16/2022
393,Wine - Piper Heidsieck Brut,28.96,724,3/16/2023,personal care,Meevee,ZIONZ,2nd Floor,false,4/14/2022
394,"Vodka - Hot, Lnferno",69.42,322,5/1/2022,personal care,Pixoboo,DRA,Apt 682,false,10/9/2023
395,Scotch - Queen Anne,25.83,782,3/4/2022,food,Camido,SKLN,Suite 15,true,5/26/2022
396,Bread Base - Gold Formel,26.71,352,7/12/2022,food,Topiclounge,WMT,Apt 570,false,8/31/2022
397,Pail For Lid 1537,68.18,919,10/24/2022,food,Flashspan,CVGI,3rd Floor,true,10/13/2022
398,Ice Cream - Life Savers,12.64,787,3/22/2023,food,Cogilith,SMBK,Apt 1706,true,3/22/2022
399,"Pasta - Shells, Medium, Dry",61.02,979,9/11/2022,household,Vidoo,MCEF,Suite 25,false,3/24/2022
400,Venison - Striploin,78.61,280,10/30/2023,household,Skyba,CYCCP,5th Floor,true,10/3/2023
401,Beef - Striploin,46.89,373,1/29/2023,food,Skinte,EVK,Suite 67,false,1/31/2022
402,Tea - Mint,50.84,81,4/21/2023,personal care,Photobean,CG,11th Floor,true,9/14/2022
403,Pepper - Scotch Bonnet,21.92,815,10/10/2023,household,Zava,PSET,Suite 22,false,10/22/2023
404,Potatoes - Parissienne,89.21,811,9/29/2023,household,Edgetag,FPA,Room 1497,true,5/13/2023
405,"Sauce - Apple, Unsweetened",41.29,289,9/28/2022,household,Photofeed,FBC,Room 1555,false,6/12/2023
406,"Beef - Tongue, Fresh",47.96,283,4/19/2023,personal care,Mycat,LXFR,PO Box 64960,false,11/27/2023
407,Oil - Peanut,12.85,876,1/18/2023,personal care,Yodoo,LLL,Suite 22,true,11/28/2022
408,Cheese - Mascarpone,7.7,738,4/4/2023,food,Edgeclub,TSLA,Suite 58,false,10/11/2022
409,Shrimp - Tiger 21/25,83.46,381,10/11/2022,beverages,Youfeed,ALL^A,Apt 334,true,7/6/2022
410,Rice - Long Grain,13.46,680,8/24/2023,beverages,Twimm,RLGY,5th Floor,true,10/19/2023
411,Pasta - Cheese / Spinach Bauletti,4.65,244,7/18/2022,beverages,Yakijo,SUP,Suite 35,false,6/29/2023
412,"Crab - Claws, Snow 16 - 24",70.01,960,11/15/2023,personal care,Vimbo,TCBIW,12th Floor,false,4/22/2022
413,Ostrich - Prime Cut,19.7,116,7/28/2022,household,Voonder,CIM^A,Room 294,false,6/30/2022
414,Latex Rubber Gloves Size 9,84.88,794,12/4/2022,personal care,Cogilith,PFSI,2nd Floor,true,8/10/2022
415,Creme De Cacao Mcguines,64.44,945,11/23/2022,personal care,Skippad,MIDD,Room 1593,true,1/28/2022
416,Scrubbie - Scotchbrite Hand Pad,93.31,554,4/6/2023,beverages,Twimm,SKT,Room 177,false,7/13/2022
417,Tea - Black Currant,62.08,765,3/23/2022,personal care,Tekfly,TER,9th Floor,false,2/18/2022
418,"Pasta - Penne, Lisce, Dry",91.71,969,11/5/2022,beverages,Lazz,EXTR,14th Floor,false,12/26/2023
419,Mustard - Seed,7.45,452,11/28/2022,household,Yambee,PSL,PO Box 23235,true,3/12/2023
420,Appetizer - Cheese Bites,73.76,350,8/1/2023,food,Feednation,CO,Room 1189,true,7/29/2022
421,Wine - Masi Valpolocell,75.33,246,7/26/2022,beverages,Twitternation,IGT,12th Floor,true,7/3/2022
422,"Chilli Paste, Ginger Garlic",7.27,690,6/1/2022,food,Voomm,KAR,PO Box 70338,false,5/23/2023
423,Lemon Tarts,72.7,660,9/15/2022,household,Zoomcast,PRSS,PO Box 14077,true,6/22/2022
424,Cheese - Augre Des Champs,59.77,367,11/25/2023,beverages,Mydeo,CNOB,PO Box 8645,true,11/14/2022
425,Muffin Batt - Blueberry Passion,64.08,24,11/26/2023,personal care,Topicstorm,RT,PO Box 60473,false,2/5/2023
426,Bread - French Baquette,39.23,938,1/25/2023,beverages,Divanoodle,NAC,Room 1136,true,8/16/2022
427,Pork - Kidney,51.82,173,7/30/2022,food,Oyope,FNF,Room 1574,true,3/3/2023
428,Shrimp - Prawn,21.55,395,9/25/2022,household,Avavee,UTF,Room 935,false,5/31/2022
429,Brandy Apricot,90.92,689,4/27/2023,household,Vipe,SRTS,Apt 46,false,6/6/2023
430,"Juice - Clam, 46 Oz",80.31,891,9/18/2023,food,Flipstorm,PL^C,Suite 51,false,9/29/2023
431,"Cherries - Maraschino,jar",93.47,895,12/30/2022,personal care,Topiczoom,KEY,Room 1073,true,5/8/2022
432,Yogurt - Assorted Pack,18.69,814,8/29/2023,food,Fiveclub,SYY,Room 827,true,2/12/2023
433,Cake Slab,87.99,659,11/10/2023,beverages,Yakidoo,BRCD,Room 302,true,8/24/2022
434,Tea - Jasmin Green,4.8,899,4/3/2022,food,Yata,ALX,Suite 39,false,9/18/2023
435,"Marsala - Sperone, Fine, D.o.c.",38.44,430,8/16/2022,beverages,Gabcube,LGCY,5th Floor,true,1/25/2022
436,"Rum - Spiced, Captain Morgan",23.04,958,2/17/2022,beverages,Fanoodle,PKD,PO Box 4408,false,10/14/2022
437,Transfer Sheets,83.29,981,5/5/2023,beverages,Pixonyx,STKS,Suite 81,true,7/16/2023
438,"Split Peas - Green, Dry",49.01,865,10/15/2023,food,Kare,TXN,Apt 1262,true,10/26/2023
439,Cheese - Mix,33.98,900,5/19/2022,food,Youtags,MDVXW,Room 576,false,8/13/2023
440,Bread - 10 Grain Parisian,20.24,387,1/22/2022,food,Npath,GRAM,Suite 64,true,11/11/2022
441,Egg Patty Fried,71.63,506,8/9/2022,food,Zoomzone,FCFP,PO Box 96713,true,10/19/2022
442,Taro Root,98.64,118,12/31/2022,household,Tavu,WBT,20th Floor,false,7/29/2023
443,Beef - Striploin,46.93,728,11/9/2022,beverages,Mymm,BCPC,Room 880,true,8/1/2023
444,Vinegar - Tarragon,69.05,686,12/22/2023,household,Realfire,COWNL,Room 1005,true,2/26/2023
445,Bread - Italian Sesame Poly,19.88,847,9/1/2022,beverages,Katz,RRR,4th Floor,true,8/7/2023
446,Chicken Breast Halal,66.79,958,9/24/2023,personal care,Bubblemix,SMFG,Room 44,true,9/18/2022
447,Corn Kernels - Frozen,59.41,736,7/21/2023,household,Twinte,WMLP,16th Floor,false,11/6/2022
448,Cheese - Cambozola,94.55,309,10/29/2023,personal care,Photofeed,AMED,PO Box 8800,true,8/16/2022
449,Mushrooms - Honey,73.9,979,2/12/2022,beverages,Browsetype,AMCX,PO Box 83892,true,1/25/2023
450,"Wine - Red, Mosaic Zweigelt",44.08,302,12/21/2022,beverages,Quimm,TPIV,Apt 1926,false,7/19/2023
451,Chicken - Livers,16.9,192,7/18/2023,household,Jazzy,IBCP,20th Floor,false,12/15/2022
452,Lemon Balm - Fresh,29.34,895,11/16/2022,beverages,Topiczoom,SAP,Suite 18,false,9/18/2022
453,Wine - Conde De Valdemar,34.36,988,11/24/2022,beverages,Twimm,FFHL,Room 139,false,10/26/2023
454,Caviar - Salmon,49.75,630,4/1/2023,beverages,Jabbersphere,NX,Suite 64,true,9/29/2022
455,"Potatoes - Yukon Gold, 80 Ct",77.99,350,3/4/2023,personal care,Divanoodle,CRME,6th Floor,false,6/23/2022
456,Cheese - Sheep Milk,69.08,839,5/6/2023,household,Skippad,GS^N,Room 1466,false,5/17/2023
457,Goulash Seasoning,45.55,333,5/26/2022,food,Photolist,MDCO,5th Floor,true,1/11/2022
458,Sambuca - Opal Nera,77.97,649,4/10/2023,food,Browsezoom,CAFD,Room 368,true,9/15/2023
459,"Shrimp - 16/20, Peeled Deviened",23.06,311,3/21/2023,food,Kaymbo,C^C,Suite 85,false,1/13/2022
460,"Wine - Red, Antinori Santa",65.4,146,5/20/2023,personal care,Bubbletube,TRNO^A.CL,Apt 1566,false,2/8/2022
461,Bar Special K,32.38,259,5/26/2022,food,Wikivu,MDLQ,Suite 18,false,9/27/2022
462,Cheese - Augre Des Champs,16.82,33,6/7/2023,beverages,Vipe,FTXO,Room 883,false,6/23/2023
463,Muffin Puck Ww Carrot,15.27,912,2/4/2022,household,Photobug,UTX,PO Box 54771,true,1/22/2023
464,Tea - Vanilla Chai,77.9,992,7/3/2023,food,LiveZ,GOOGL,Room 375,true,12/2/2023
465,Chicken - Whole Roasting,37.34,245,9/27/2023,beverages,Zoomdog,ITRN,PO Box 7780,false,2/3/2022
466,Energy Drink - Franks Original,27.59,252,6/13/2023,household,Avamm,WMB,Suite 82,false,3/1/2022
467,"Bread - Pullman, Sliced",64.81,652,7/21/2022,food,Devbug,CCRC,Suite 12,true,7/18/2022
468,"Stock - Veal, Brown",6.56,34,5/21/2023,personal care,Fliptune,RNP,Room 157,false,6/5/2022
469,"Lamb - Leg, Boneless",56.03,247,5/4/2023,beverages,Twitterlist,LVS,Suite 11,false,6/27/2022
470,Cake - Bande Of Fruit,47.11,305,12/23/2023,household,Yambee,PCH,Apt 1129,true,10/25/2022
471,Mussels - Cultivated,10.9,574,8/29/2023,food,Eazzy,SEMG,Apt 1246,false,4/4/2022
472,Squash - Butternut,71.63,792,12/16/2023,food,Devify,EOG,Room 135,false,12/12/2023
473,"Pasta - Cappellini, Dry",15.25,784,2/27/2023,food,Skynoodle,PBCTP,1st Floor,true,7/30/2023
474,Muffin Chocolate Individual Wrap,5.11,194,6/1/2022,beverages,Flashspan,NVDQ,PO Box 2594,true,8/28/2023
475,Lid Coffee Cup 8oz Blk,70.09,668,5/5/2022,beverages,Feedspan,CBD,Room 790,true,3/24/2023
476,Soup - Boston Clam Chowder,94.29,363,1/10/2022,beverages,Topdrive,GM,Suite 52,false,9/13/2022
477,Squid U5 - Thailand,7.63,467,7/12/2023,food,Babbleblab,TPZ,Apt 1398,false,6/18/2022
478,Pastry - Chocolate Chip Muffin,91.98,3,1/19/2023,household,Brightbean,DOV,4th Floor,false,6/29/2023
479,Pepper - Red Chili,91.23,396,8/21/2022,food,Gabspot,FCF,Room 1819,true,1/26/2022
480,"Beef - Rouladin, Sliced",35.72,163,12/31/2022,personal care,Linklinks,QVCA,Room 1689,false,7/20/2023
481,Dr. Pepper - 355ml,93.16,95,11/4/2023,beverages,Aimbo,ADXS,Apt 650,false,3/10/2023
482,"Chocolate - Pistoles, White",80.11,561,7/26/2023,beverages,JumpXS,ASCMA,PO Box 45315,true,9/11/2022
483,Bar Special K,37.04,620,8/27/2022,personal care,Feedspan,NMZ,Apt 608,false,10/15/2023
484,"Wine - White, Ej Gallo",61.63,43,10/16/2022,beverages,Trudeo,DD^B,Room 1522,true,12/24/2023
485,Muffin Mix - Chocolate Chip,37.57,671,9/29/2023,household,Yakidoo,FTI,Suite 26,true,9/15/2023
486,Wine - Pinot Noir Mondavi Coastal,41.93,898,7/5/2022,food,Abatz,PBNC,Room 640,true,12/6/2022
487,Cookies - Englishbay Oatmeal,36.89,925,7/5/2023,household,Jatri,GTS,Apt 1222,true,6/1/2023
488,Dc - Frozen Momji,52.56,831,11/24/2023,beverages,Kwideo,NNI,PO Box 27745,false,7/31/2022
489,Oyster - In Shell,5.03,149,10/2/2023,household,Realblab,LAWS,Suite 70,false,1/26/2022
490,Chervil - Fresh,16.2,755,4/28/2023,food,Aibox,BCOM,Suite 66,false,11/21/2022
491,Nestea - Iced Tea,19.43,311,6/26/2023,household,Zoomdog,ICON,Apt 1273,false,4/5/2022
492,Irish Cream - Baileys,82.31,502,12/4/2023,beverages,Skyvu,DCUD,PO Box 5918,false,3/21/2022
